Package                           Version
langsmith                         0.4.4
lark                              1.2.2
limits                            5.2.0
litellm                           1.72.1
lxml                              5.4.0
markdown-it-py                    3.0.0
MarkupSafe                        3.0.2
marshmallow                       3.26.1
mccabe                            0.7.0
mcp                               1.9.3
mdurl                             0.1.2
minify_html                       0.16.4
mpire                             2.10.2
msvc_runtime                      14.38.33130
multidict                         6.4.4
multiprocess                      0.70.18
mypy                              1.15.0
mypy-extensions                   1.0.0
networkx                          3.5
nltk                              3.9.1
numpy                             1.26.4
ollama                            0.5.1
openai                            1.93.0
openpyxl                          3.1.5
orjson                            3.10.18
outcome                           1.3.0.post0
packaging                         24.2
pandas                            2.3.0
parsel                            1.10.0
parso                             0.8.4
pillow                            10.4.0
pip                               24.0
platformdirs                      4.3.7
playwright                        1.52.0
portalocker                       3.2.0
primp                             0.15.0
prometheus_client                 0.22.1
prometheus-fastapi-instrumentator 7.1.0
propcache                         0.3.1
Protego                           0.5.0
proto-plus                        1.26.1
protobuf                          5.29.5
psutil                            7.0.0
pyasn1                            0.6.1
pyasn1_modules                    0.4.2
pycparser                         2.22
pydantic                          2.11.5
pydantic_core                     2.33.2
pydantic-settings                 2.9.1
PyDispatcher                      2.0.7
pyee                              13.0.0
Pygments                          2.19.1
PyJWT                             2.10.1
pylint                            3.3.6
pyOpenSSL                         25.1.0
pyparsing                         3.2.3
pyperclip                         1.9.0
pyproject_hooks                   1.0.0
pyserial                          3.5
PySocks                           1.7.1
python-dateutil                   2.9.0.post0
python-dotenv                     1.1.0
python-multipart                  0.0.20
pytz                              2025.2
pywin32                           310
PyYAML                            6.0.2
qdrant-client                     1.15.1
queuelib                          1.8.0
rank-bm25                         0.2.2
redis                             6.2.0
referencing                       0.36.2
regex                             2024.11.6
requests                          2.32.3
requests-file                     2.1.0
requests-toolbelt                 1.0.0
rich                              14.0.0
rpds-py                           0.25.1
rsa                               4.9.1
rtree                             1.4.0
s3transfer                        0.13.0
scipy                             1.16.1
scrapegraph_py                    1.12.0
scrapegraphai                     1.61.0
Scrapy                            2.13.3
selenium                          4.34.2
semchunk                          3.2.2
Send2Trash                        1.8.3
service-identity                  24.2.0
setuptools                        69.0.3
shapely                           2.1.1
simpleeval                        1.0.3
six                               1.17.0
slowapi                           0.1.9
sniffio                           1.3.1
snowballstemmer                   2.2.0
sortedcontainers                  2.4.0
soupsieve                         2.7
SQLAlchemy                        2.0.41
sqlite-bro                        0.12.2
sse-starlette                     2.2.1
starlette                         0.46.2
tenacity                          9.1.2
tf-playwright-stealth             1.1.2
thonny                            4.1.7
tiktoken                          0.9.0
tldextract                        5.3.0
tokenizers                        0.21.1
tomlkit                           0.13.2
tqdm                              4.67.1
trimesh                           4.7.1
trio                              0.30.0
trio-websocket                    0.12.2
Twisted                           25.5.0
typing_extensions                 4.14.1
typing-inspect                    0.9.0
typing-inspection                 0.4.1
tzdata                            2025.2
undetected-playwright             0.3.0
uritemplate                       4.2.0
urllib3                           2.5.0
uvicorn                           0.34.3
w3lib                             2.3.1
watchfiles                        1.0.5
webdriver-manager                 4.0.2
websocket-client                  1.8.0
websockets                        15.0.1
wheel                             0.42.0
winpython                         7.1.20240208
wrapt                             1.17.2
wsproto                           1.2.0
xxhash                            3.5.0
yarl                              1.20.0
zipp                              3.22.0
zope.interface                    7.2
zstandard                         0.23.0
